Title:,"Time Series, Area-Averaged of Aerosol Optical Depth 550 nm (Deep Blue, Land-only) monthly (monthly)"
User Start Date:,2000-02-01T00:00:00Z
User End Date:,2025-02-28T23:59:59Z
User Bounding Box:,"47,34,48,35"
Data Bounding Box:,""
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2000-02-01T00:00:00Z&endtime=2025-02-28T23:59:59Z&shape=state_dept_countries_2017/shp_106&bbox=47E,34N,48E,35N&data=M2TMNXAER_5_12_4_DUCMASS%2CMOD08_M3_6_1_Deep_Blue_Aerosol_Optical_Depth_550_Land_Mean_Mean&portal=GIOVANNI&format=json"
Fill Value (MOD08_M3_6_1_Deep_Blue_Aerosol_Optical_Depth_550_Land_Mean_Mean):, -9999

time, MOD08_M3_6_1_Deep_Blue_Aerosol_Optical_Depth_550_Land_Mean_Mean
2000-02-01 00:00:00,-9999
2000-03-01 00:00:00,0.168000008
2000-04-01 00:00:00,0.298000014
2000-05-01 00:00:00,0.281000013
2000-06-01 00:00:00,0.22000001
2000-07-01 00:00:00,0.315000015
2000-08-01 00:00:00,0.253000012
2000-09-01 00:00:00,0.296000014
2000-10-01 00:00:00,0.148000007
2000-11-01 00:00:00,0.0960000046
2000-12-01 00:00:00,0.0770000037
2001-01-01 00:00:00,0.0760000036
2001-02-01 00:00:00,0.21200001
2001-03-01 00:00:00,0.140000007
2001-04-01 00:00:00,0.159000008
2001-05-01 00:00:00,0.187000009
2001-06-01 00:00:00,0.173000008
2001-07-01 00:00:00,0.288000014
2001-08-01 00:00:00,0.226000011
2001-09-01 00:00:00,0.280000013
2001-10-01 00:00:00,0.174000008
2001-11-01 00:00:00,0.108000005
2001-12-01 00:00:00,0.0900000043
2002-01-01 00:00:00,0.117000006
2002-02-01 00:00:00,0.151000007
2002-03-01 00:00:00,0.141000007
2002-04-01 00:00:00,0.234000011
2002-05-01 00:00:00,0.167000008
2002-06-01 00:00:00,0.200000009
2002-07-01 00:00:00,0.293000014
2002-08-01 00:00:00,0.238000011
2002-09-01 00:00:00,0.307000015
2002-10-01 00:00:00,0.288000014
2002-11-01 00:00:00,0.101000005
2002-12-01 00:00:00,0.125000006
2003-01-01 00:00:00,0.0730000035
2003-02-01 00:00:00,0.230000011
2003-03-01 00:00:00,0.275000013
2003-04-01 00:00:00,0.260000012
2003-05-01 00:00:00,0.22000001
2003-06-01 00:00:00,0.264000013
2003-07-01 00:00:00,0.357000017
2003-08-01 00:00:00,0.264000013
2003-09-01 00:00:00,0.291000014
2003-10-01 00:00:00,0.169000008
2003-11-01 00:00:00,0.0870000041
2003-12-01 00:00:00,0.100000005
2004-01-01 00:00:00,0.0800000038
2004-02-01 00:00:00,0.199000009
2004-03-01 00:00:00,0.183000009
2004-04-01 00:00:00,0.166000008
2004-05-01 00:00:00,0.179000009
2004-06-01 00:00:00,0.155000007
2004-07-01 00:00:00,0.236000011
2004-08-01 00:00:00,0.21900001
2004-09-01 00:00:00,0.284000013
2004-10-01 00:00:00,0.222000011
2004-11-01 00:00:00,0.117000006
2004-12-01 00:00:00,0.085000004
2005-01-01 00:00:00,0.184000009
2005-02-01 00:00:00,0.135000006
2005-03-01 00:00:00,0.135000006
